class,timestamp,Difficulty,Performance,channel0,channel1,channel2,channel3,channel4,channel5,channel6,channel7
0,19:03:35.572,1,1,11368.86,-17643.82,-9176.4,-11367.94,-9835.57,-15071.8,141139.33,147384.36
0,19:03:35.572,1,1,11223.79,-17661.88,-9215.96,-11313.13,-9826.63,-15019.97,141112.73,147330.88
0,19:03:35.572,1,1,11235.55,-17676.16,-9161.8,-11250.15,-9757.52,-14955.82,141072.38,147257.22
0,19:03:35.572,1,1,11398.29,-17669.25,-9094.66,-11271.96,-9723.88,-14970.68,141079.44,147270.55
0,19:03:35.572,1,1,11469.01,-17654.57,-9120.5,-11353.14,-9780.27,-15044.94,141127.69,147354.3
0,19:03:35.572,1,1,11356.43,-17649.52,-9205.03,-11383.77,-9845.56,-15075.04,141149.3,147390.7
0,19:03:35.572,1,1,11206.11,-17664.76,-9242.45,-11331.84,-9834.88,-15018.61,141120.48,147335.39
0,19:03:35.572,1,1,11217.8,-17680.65,-9178.27,-11263.65,-9758.15,-14945.87,141081.64,147263.09
0,19:03:35.573,1,1,11381.49,-17673.01,-9102.93,-11276.97,-9718.61,-14955.15,141087.63,147275.08
0,19:03:35.573,1,1,11461.75,-17655.58,-9120.61,-11349.39,-9774.08,-15030.14,141133.22,147356.34
0,19:03:35.573,1,1,11360.59,-17650.55,-9195.89,-11370.15,-9833.9,-15059.17,141155.59,147394.08
0,19:03:35.573,1,1,11220.15,-17664.76,-9228.14,-11307.17,-9822.94,-15009.11,141126.36,147338.36
0,19:03:35.573,1,1,11235.69,-17682.31,-9175.55,-11238.88,-9757.25,-14947.44,141088.59,147266.81
0,19:03:35.573,1,1,11397.96,-17677.23,-9101.61,-11251.44,-9725.8,-14960.13,141096.48,147280.25
0,19:03:35.573,1,1,11482.67,-17657.95,-9115.09,-11322.43,-9779.4,-15036.93,141140.39,147359.81
0,19:03:35.573,1,1,11381.6,-17651.19,-9195.64,-11349.14,-9847.26,-15071.69,141161.5,147396.73
0,19:03:35.574,1,1,11239.78,-17666.95,-9233.86,-11292.3,-9839.13,-15017.09,141134.3,147343.44
0,19:03:35.574,1,1,11249.32,-17685.75,-9180.91,-11228.11,-9764.45,-14950.88,141097.42,147272.83
0,19:03:35.574,1,1,11405.4,-17680.07,-9116.52,-11251.26,-9734.12,-14971.15,141103.56,147284.38
0,19:03:35.574,1,1,11486.54,-17661.57,-9137.1,-11332.54,-9790.67,-15048.85,141147.94,147364.33
0,19:03:35.574,1,1,11382.6,-17657.59,-9214.64,-11363.98,-9852.51,-15077.41,141172.55,147404.92
0,19:03:35.574,1,1,11232.67,-17674.13,-9256.8,-11312.46,-9845.97,-15026.99,141146.55,147353.33
0,19:03:35.575,1,1,11238.21,-17690.15,-9207.22,-11245.77,-9776.0,-14957.65,141106.84,147279.66
0,19:03:35.575,1,1,11392.88,-17684.63,-9129.88,-11262.1,-9740.38,-14966.08,141112.61,147290.28
0,19:03:35.575,1,1,11473.96,-17668.07,-9145.8,-11344.72,-9796.59,-15041.54,141158.75,147371.94
0,19:03:35.575,1,1,11373.95,-17662.44,-9224.86,-11379.99,-9859.51,-15071.22,141182.27,147411.98
0,19:03:35.575,1,1,11234.97,-17675.58,-9256.39,-11320.17,-9842.32,-15007.21,141153.7,147357.95
0,19:03:35.575,1,1,11238.79,-17690.51,-9193.41,-11248.05,-9766.37,-14929.87,141112.61,147282.61
0,19:03:35.576,1,1,11394.9,-17687.76,-9115.24,-11261.34,-9728.53,-14938.88,141120.44,147294.92
0,19:03:35.578,1,1,11481.91,-17670.3,-9126.06,-11336.11,-9778.89,-15011.88,141166.08,147376.17
0,19:03:35.579,1,1,11383.59,-17663.87,-9193.58,-11361.86,-9843.46,-15044.78,141189.77,147416.77
0,19:03:35.579,1,1,11242.68,-17680.16,-9222.17,-11300.46,-9833.87,-14992.95,141164.58,147366.39
0,19:03:35.579,1,1,11244.13,-17695.67,-9165.76,-11232.47,-9762.88,-14934.72,141123.72,147291.31
0,19:03:35.579,1,1,11396.73,-17691.96,-9091.46,-11248.38,-9731.12,-14956.24,141129.78,147301.41
0,19:03:35.580,1,1,11481.44,-17674.75,-9106.91,-11325.34,-9789.77,-15039.5,141174.95,147382.19
0,19:03:35.580,1,1,11382.38,-17669.32,-9184.0,-11356.36,-9860.78,-15078.29,141199.7,147424.13
0,19:03:35.580,1,1,11231.73,-17682.96,-9223.38,-11305.15,-9859.4,-15032.64,141172.0,147371.63
0,19:03:35.580,1,1,11232.91,-17699.9,-9169.87,-11237.09,-9790.67,-14967.17,141132.13,147297.13
0,19:03:35.580,1,1,11392.37,-17696.23,-9091.15,-11250.5,-9748.31,-14975.29,141137.66,147306.13
0,19:03:35.580,1,1,11483.54,-17680.27,-9102.9,-11329.56,-9798.22,-15044.33,141184.08,147387.84
0,19:03:35.580,1,1,11388.06,-17672.94,-9183.88,-11365.3,-9867.2,-15079.09,141207.3,147428.38
0,19:03:35.581,1,1,11238.59,-17688.75,-9224.12,-11312.55,-9859.29,-15030.05,141182.17,147378.39
0,19:03:35.581,1,1,11237.07,-17706.13,-9170.43,-11243.2,-9785.84,-14957.03,141142.3,147303.64
0,19:03:35.581,1,1,11388.62,-17700.81,-9096.58,-11255.94,-9746.19,-14962.77,141145.03,147309.41
0,19:03:35.581,1,1,11471.7,-17683.29,-9107.98,-11332.76,-9789.53,-15029.65,141189.5,147389.0
0,19:03:36.248,1,1,11376.88,-17678.31,-9182.81,-11364.72,-9847.6,-15055.29,141215.81,147432.97
0,19:03:36.249,1,1,11235.51,-17694.31,-9219.89,-11306.9,-9831.15,-14994.76,141191.5,147384.2
0,19:03:36.255,1,1,11236.31,-17709.49,-9172.31,-11238.55,-9755.91,-14919.72,141149.05,147306.97
0,19:03:36.255,1,1,11392.86,-17706.98,-9095.62,-11248.43,-9712.86,-14920.66,141154.06,147314.8
0,19:03:36.255,1,1,11481.71,-17688.77,-9112.6,-11324.31,-9762.26,-14994.2,141197.64,147393.59
0,19:03:36.255,1,1,11381.87,-17683.04,-9197.68,-11361.1,-9830.14,-15033.09,141223.53,147437.53
0,19:03:36.255,1,1,11231.21,-17699.7,-9233.06,-11307.19,-9816.01,-14977.86,141200.06,147389.8
0,19:03:36.255,1,1,11224.69,-17715.3,-9177.72,-11237.27,-9742.39,-14904.12,141157.77,147312.41
0,19:03:36.255,1,1,11376.43,-17712.88,-9102.77,-11249.68,-9703.14,-14917.49,141161.97,147318.84
0,19:03:36.255,1,1,11468.17,-17695.12,-9115.09,-11324.33,-9754.43,-14999.43,141205.8,147397.81
0,19:03:36.255,1,1,11373.44,-17687.83,-9193.81,-11359.09,-9828.33,-15046.66,141230.45,147440.91
0,19:03:36.255,1,1,11219.99,-17703.23,-9230.85,-11301.87,-9828.55,-15008.03,141206.25,147392.78
0,19:03:36.256,1,1,11208.64,-17721.11,-9181.13,-11230.83,-9763.15,-14949.61,141165.7,147316.94
0,19:03:36.256,1,1,11363.47,-17720.44,-9110.75,-11245.03,-9729.74,-14969.57,141170.78,147323.77
0,19:03:36.256,1,1,11460.57,-17703.47,-9120.23,-11319.64,-9780.77,-15046.88,141215.44,147403.16
0,19:03:36.256,1,1,11370.47,-17696.26,-9196.56,-11354.55,-9847.82,-15084.01,141241.25,147447.44
0,19:03:36.256,1,1,11219.48,-17709.44,-9238.13,-11305.15,-9845.54,-15036.2,141215.59,147398.16
0,19:03:36.256,1,1,11214.03,-17728.13,-9187.62,-11233.29,-9776.88,-14961.27,141175.98,147323.03
0,19:03:36.256,1,1,11376.01,-17725.8,-9099.33,-11232.09,-9725.62,-14953.03,141179.36,147327.73
0,19:03:36.256,1,1,11473.11,-17708.17,-9102.68,-11303.3,-9765.61,-15016.24,141223.48,147406.89
0,19:03:36.256,1,1,11379.88,-17699.96,-9184.35,-11342.28,-9832.44,-15054.19,141248.69,147451.28
0,19:03:36.257,1,1,11227.93,-17714.27,-9227.85,-11291.16,-9828.38,-15006.0,141224.55,147404.08
0,19:03:36.257,1,1,11221.98,-17732.02,-9180.13,-11220.75,-9759.62,-14934.47,141183.69,147327.94
0,19:03:36.257,1,1,11379.34,-17726.59,-9105.36,-11229.27,-9718.85,-14938.92,141183.02,147328.36
0,19:03:36.257,1,1,11482.83,-17710.98,-9116.96,-11305.42,-9763.4,-15010.18,141229.17,147409.42
0,19:03:36.257,1,1,11395.79,-17704.26,-9197.92,-11345.88,-9835.39,-15050.41,141256.77,147456.58
0,19:03:36.257,1,1,11242.61,-17720.06,-9241.64,-11301.87,-9835.79,-15001.13,141234.81,147411.98
0,19:03:36.257,1,1,11229.14,-17736.94,-9191.51,-11234.57,-9761.59,-14923.99,141193.02,147334.69
0,19:03:36.257,1,1,11377.28,-17732.76,-9109.74,-11243.06,-9709.46,-14918.27,141193.11,147335.45
0,19:03:36.257,1,1,11469.46,-17715.68,-9115.33,-11318.01,-9749.05,-14986.51,141237.58,147414.78
0,19:03:36.257,1,1,11378.67,-17706.92,-9190.79,-11354.35,-9815.57,-15024.04,141263.64,147460.83
0,19:03:36.258,1,1,11227.93,-17721.04,-9234.71,-11305.65,-9816.82,-14985.64,141240.58,147415.25
0,19:03:36.258,1,1,11214.76,-17738.99,-9194.1,-11241.16,-9756.4,-14932.33,141199.72,147338.58
0,19:03:36.258,1,1,11357.12,-17736.2,-9128.47,-11254.08,-9723.37,-14956.76,141200.44,147339.31
0,19:03:36.258,1,1,11448.72,-17720.02,-9144.52,-11336.29,-9783.4,-15050.37,141245.36,147418.72
0,19:03:36.258,1,1,11358.58,-17713.11,-9226.55,-11378.45,-9862.21,-15104.68,141273.86,147467.19
0,19:03:36.258,1,1,11206.14,-17726.52,-9270.83,-11329.58,-9863.02,-15063.13,141250.7,147421.91
0,19:03:36.258,1,1,11191.88,-17743.19,-9221.99,-11258.26,-9791.67,-14988.97,141208.44,147343.91
0,19:03:36.258,1,1,11347.6,-17740.71,-9137.21,-11257.17,-9740.64,-14978.22,141209.11,147344.44
