timestamp,Difficulty,Performance,channel0,channel1,channel2,channel3,channel4,channel5,channel6,channel7
19:04:55.720,1,1,12726.66,-18587.73,-10520.27,-10515.65,-12053.94,-14185.15,168341.28,160811.45
19:04:55.720,1,1,12850.08,-18589.54,-10440.9,-10477.6,-11991.53,-14186.43,168318.55,160770.89
19:04:55.721,1,1,12956.28,-18574.1,-10444.17,-10529.66,-12019.38,-14264.21,168346.2,160820.84
19:04:55.721,1,1,12897.67,-18561.0,-10515.91,-10590.57,-12090.48,-14302.99,168368.56,160861.5
19:04:55.722,1,1,12768.17,-18570.21,-10541.78,-10564.46,-12095.91,-14239.27,168344.27,160814.73
19:04:55.722,1,1,12742.24,-18590.75,-10489.99,-10487.88,-12029.35,-14157.08,168291.98,160716.14
19:04:55.723,1,1,12865.28,-18595.89,-10423.09,-10465.44,-11982.77,-14169.2,168271.22,160676.47
19:04:55.723,1,1,12966.22,-18578.63,-10440.7,-10533.33,-12023.61,-14257.91,168295.84,160722.63
19:04:55.723,1,1,12906.97,-18565.07,-10519.27,-10599.96,-12101.14,-14301.85,168317.45,160762.39
19:04:55.724,1,1,12777.37,-18572.98,-10552.57,-10576.62,-12112.61,-14243.47,168292.16,160714.77
19:04:55.724,1,1,12745.59,-18593.19,-10505.97,-10507.22,-12055.97,-14172.35,168239.97,160616.56
19:04:55.724,1,1,12866.98,-18596.54,-10442.73,-10484.6,-12012.65,-14193.18,168217.95,160576.17
19:04:55.724,1,1,12971.54,-18582.26,-10462.0,-10547.45,-12054.92,-14287.82,168247.14,160627.5
19:04:55.725,1,1,12921.34,-18571.48,-10539.52,-10614.02,-12128.12,-14330.17,168273.78,160673.41
19:04:55.725,1,1,12796.08,-18577.58,-10569.42,-10593.97,-12135.12,-14270.45,168249.31,160628.19
19:04:55.725,1,1,12762.2,-18596.38,-10521.77,-10524.25,-12070.75,-14194.72,168198.03,160532.66
19:04:55.725,1,1,12885.71,-18598.13,-10451.81,-10495.17,-12018.11,-14206.99,168176.78,160494.55
19:04:55.726,1,1,12993.45,-18581.21,-10457.75,-10553.87,-12047.52,-14288.78,168206.5,160548.64
19:04:55.726,1,1,12936.47,-18568.4,-10528.74,-10619.29,-12116.99,-14325.43,168235.09,160599.25
19:04:55.727,1,1,12797.92,-18575.89,-10567.28,-10607.62,-12131.7,-14271.03,168215.44,160561.19
19:04:55.727,1,1,12768.25,-18592.45,-10520.27,-10535.36,-12068.76,-14190.81,168165.63,160469.06
19:04:55.727,1,1,12893.67,-18593.16,-10446.71,-10501.01,-12012.65,-14199.55,168146.92,160435.47
19:04:55.727,1,1,12996.49,-18576.38,-10458.22,-10559.54,-12047.01,-14287.19,168180.63,160495.67
19:04:55.728,1,1,12941.88,-18563.28,-10523.83,-10619.89,-12113.1,-14323.11,168213.5,160552.89
19:04:55.728,1,1,12809.18,-18568.26,-10551.57,-10596.56,-12115.29,-14261.78,168195.91,160519.38
19:04:55.728,1,1,12767.67,-18584.94,-10507.85,-10528.68,-12055.95,-14191.82,168149.8,160433.23
19:04:55.729,1,1,12882.52,-18586.08,-10445.51,-10505.12,-12010.51,-14212.16,168135.16,160405.81
